adjustment_regime,binance_index_close_normalized,binance_index_close_raw,binance_index_high_normalized,binance_index_high_raw,binance_index_low_normalized,binance_index_low_raw,binance_index_open_normalized,binance_index_open_raw,binance_index_volume_normalized,binance_index_volume_raw,binance_last_close_normalized,binance_last_close_raw,binance_last_high_normalized,binance_last_high_raw,binance_last_low_normalized,binance_last_low_raw,binance_last_open_normalized,binance_last_open_raw,binance_last_volume_normalized,binance_last_volume_raw,binance_mark_close_normalized,binance_mark_close_raw,binance_mark_high_normalized,binance_mark_high_raw,binance_mark_low_normalized,binance_mark_low_raw,binance_mark_open_normalized,binance_mark_open_raw,binance_mark_volume_normalized,binance_mark_volume_raw,binance_premium_close_normalized,binance_premium_close_raw,binance_premium_high_normalized,binance_premium_high_raw,binance_premium_low_normalized,binance_premium_low_raw,binance_premium_open_normalized,binance_premium_open_raw,binance_premium_volume_normalized,binance_premium_volume_raw,funding_age_seconds,funding_mark_price_raw,funding_observed_time_ms,funding_observed_ts_utc,funding_rate_raw,funding_rate_type,is_krx_regular_weekday_clock,is_split_adjustment_window,is_us_core_weekday_clock,koru_age_seconds,koru_available_at_utc,koru_close_raw,koru_source_bar_ts_utc,krwx_age_seconds,krwx_available_at_utc,krwx_close_raw,krwx_source_bar_ts_utc,ks200_age_seconds,ks200_available_at_utc,ks200_close_raw,ks200_source_bar_ts_utc,mu_age_seconds,mu_available_at_utc,mu_close_raw,mu_source_bar_ts_utc,samsung_age_seconds,samsung_available_at_utc,samsung_close_raw,samsung_source_bar_ts_utc,skhynix_age_seconds,skhynix_available_at_utc,skhynix_close_raw,skhynix_source_bar_ts_utc,sndk_age_seconds,sndk_available_at_utc,sndk_close_raw,sndk_source_bar_ts_utc,sox_age_seconds,sox_available_at_utc,sox_close_raw,sox_source_bar_ts_utc,timestamp_ms,timestamp_utc
pre_adjustment,54.03478195,1080.695639,55.397285194999995,1107.9457039,52.97287302250001,1059.45746045,54.562041625,1091.2408325,0.0,0.0,53.986000000000004,1079.72,56.062000000000005,1121.24,52.6675,1053.35,54.400000000000006,1088.0,15600.4,780.02,53.986000000000004,1079.72,55.825864758499996,1116.51729517,52.9908010815,1059.81602163,54.42400000000001,1088.48,0.0,0.0,0.0,0.0,0.01081705,0.01081705,-0.00973956,-0.00973956,0.0,0.0,0.0,0.0,,,,,,,False,False,True,,,,,0,2026-06-22T14:00:00.000Z,1537.219970703125,2026-06-22T13:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,1782136800000,2026-06-22T14:00:00.000Z
pre_adjustment,53.446128125,1068.9225625,54.530482875,1090.6096575,53.038344475,1060.7668895,54.043280525,1080.8656105,0.0,0.0,52.85,1057.0,54.0785,1081.57,52.800000000000004,1056.0,53.87050000000001,1077.41,2696.6000000000004,134.83,52.91851243400001,1058.37024868,54.178157228,1083.56314456,52.8235269075,1056.47053815,53.986361066,1079.72722132,0.0,0.0,-0.00959608,-0.00959608,0.00221805,0.00221805,-0.00965838,-0.00965838,0.0,0.0,0.0,0.0,,,,,,,False,False,True,1800,2026-06-22T14:30:00.000Z,54.235496520996094,2026-06-22T13:30:00.000Z,0,2026-06-22T15:00:00.000Z,1536.3900146484375,2026-06-22T14:00:00.000Z,,,,,1800,2026-06-22T14:30:00.000Z,1190.630126953125,2026-06-22T13:30:00.000Z,,,,,,,,,1800,2026-06-22T14:30:00.000Z,2313.800048828125,2026-06-22T13:30:00.000Z,1800,2026-06-22T14:30:00.000Z,14569.623046875,2026-06-22T13:30:00.000Z,1782140400000,2026-06-22T15:00:00.000Z
pre_adjustment,54.56642050000001,1091.32841,54.594625175000004,1091.8925035,53.003820094000005,1060.07640188,53.446165575,1068.9233115,0.0,0.0,53.633500000000005,1072.67,53.88150000000001,1077.63,52.589,1051.78,52.879,1057.58,2317.6,115.88,53.78352515300001,1075.67050306,53.88150000000001,1077.63,52.663807453000004,1053.27614906,52.912379659,1058.24759318,0.0,0.0,-0.01260907,-0.01260907,0.0,0.0,-0.01348512,-0.01348512,-0.00990242,-0.00990242,0.0,0.0,,,,,,,False,False,True,1800,2026-06-22T15:30:00.000Z,53.33300018310547,2026-06-22T14:30:00.000Z,0,2026-06-22T16:00:00.000Z,1537.9000244140625,2026-06-22T15:00:00.000Z,,,,,1800,2026-06-22T15:30:00.000Z,1180.0,2026-06-22T14:30:00.000Z,,,,,,,,,1800,2026-06-22T15:30:00.000Z,2313.2099609375,2026-06-22T14:30:00.000Z,1800,2026-06-22T15:30:00.000Z,14496.3134765625,2026-06-22T14:30:00.000Z,1782144000000,2026-06-22T16:00:00.000Z
pre_adjustment,54.713066975000004,1094.2613395,55.034842325,1100.6968465,54.15011200000001,1083.00224,54.566547325,1091.3309465,0.0,0.0,54.49850000000001,1089.97,55.268,1105.36,53.496500000000005,1069.93,53.8675,1077.35,2461.3999999999996,123.07,54.549145612,1090.98291224,54.946991079,1098.93982158,53.656689966,1073.13379932,53.78341496350001,1075.66829927,0.0,0.0,-0.00237095,-0.00237095,0.0,0.0,-0.01570315,-0.01570315,-0.01261308,-0.01261308,0.0,0.0,3599,1058.37024868,1782144000001,2026-06-22T16:00:00.001Z,-0.00040333,,False,False,True,1800,2026-06-22T16:30:00.000Z,54.08350372314453,2026-06-22T15:30:00.000Z,0,2026-06-22T17:00:00.000Z,1536.719970703125,2026-06-22T16:00:00.000Z,,,,,1800,2026-06-22T16:30:00.000Z,1200.800048828125,2026-06-22T15:30:00.000Z,,,,,,,,,1800,2026-06-22T16:30:00.000Z,2318.3349609375,2026-06-22T15:30:00.000Z,1800,2026-06-22T16:30:00.000Z,14512.3232421875,2026-06-22T15:30:00.000Z,1782147600000,2026-06-22T17:00:00.000Z
pre_adjustment,53.85122765,1077.024553,54.904727966500005,1098.09455933,53.814215000000004,1076.2843,54.728113650000004,1094.562273,0.0,0.0,53.841499999999996,1076.83,54.697500000000005,1093.95,53.602000000000004,1072.04,54.571000000000005,1091.42,841.2,42.06,53.830065238500005,1076.60130477,54.69013231500001,1093.8026463,53.7145,1074.29,54.507297144999995,1090.1459429,0.0,0.0,0.0,0.0,0.0,0.0,-0.00744075,-0.00744075,-0.00156437,-0.00156437,0.0,0.0,7199,1058.37024868,1782144000001,2026-06-22T16:00:00.001Z,-0.00040333,,False,False,True,1800,2026-06-22T17:30:00.000Z,54.87474822998047,2026-06-22T16:30:00.000Z,0,2026-06-22T18:00:00.000Z,1536.77001953125,2026-06-22T17:00:00.000Z,,,,,1800,2026-06-22T17:30:00.000Z,1194.31005859375,2026-06-22T16:30:00.000Z,,,,,,,,,1800,2026-06-22T17:30:00.000Z,2318.85009765625,2026-06-22T16:30:00.000Z,1800,2026-06-22T17:30:00.000Z,14531.8984375,2026-06-22T16:30:00.000Z,1782151200000,2026-06-22T18:00:00.000Z
pre_adjustment,54.306577425,1086.1315485,54.68903625000001,1093.780725,53.499145287500006,1069.98290575,53.851227825,1077.0245565,0.0,0.0,53.970000000000006,1079.4,54.175000000000004,1083.5,53.168,1063.36,53.809000000000005,1076.18,1201.8000000000002,60.09,54.0537649745,1081.07529949,54.175000000000004,1083.5,53.25800000000001,1065.16,53.83765278,1076.7530556,0.0,0.0,-0.0025427,-0.0025427,0.0,0.0,-0.01086604,-0.01086604,0.0,0.0,0.0,0.0,10799,1058.37024868,1782144000001,2026-06-22T16:00:00.001Z,-0.00040333,,False,False,True,1800,2026-06-22T18:30:00.000Z,54.489501953125,2026-06-22T17:30:00.000Z,0,2026-06-22T19:00:00.000Z,1536.9300537109375,2026-06-22T18:00:00.000Z,,,,,1800,2026-06-22T18:30:00.000Z,1193.81494140625,2026-06-22T17:30:00.000Z,,,,,,,,,1800,2026-06-22T18:30:00.000Z,2315.610107421875,2026-06-22T17:30:00.000Z,1800,2026-06-22T18:30:00.000Z,14549.876953125,2026-06-22T17:30:00.000Z,1782154800000,2026-06-22T19:00:00.000Z
pre_adjustment,54.247582425,1084.9516485,54.392941181000005,1087.85882362,54.022384525,1080.4476905,54.301939925,1086.0387985,0.0,0.0,54.349500000000006,1086.99,54.459,1089.18,53.466499999999996,1069.33,54.06,1081.2,780.0,39.0,54.2752741935,1085.50548387,54.39866935500001,1087.9733871,53.5605564515,1071.21112903,54.013938618,1080.27877236,0.0,0.0,0.0,0.0,0.00045721,0.00045721,-0.00802267,-0.00802267,-0.0027353,-0.0027353,0.0,0.0,14399,1058.37024868,1782144000001,2026-06-22T16:00:00.001Z,-0.00040333,,False,False,False,0,2026-06-22T20:00:00.000Z,54.323997497558594,2026-06-22T19:30:00.000Z,0,2026-06-22T20:00:00.000Z,1536.969970703125,2026-06-22T19:00:00.000Z,,,,,0,2026-06-22T20:00:00.000Z,1211.199951171875,2026-06-22T19:30:00.000Z,,,,,,,,,0,2026-06-22T20:00:00.000Z,2274.148193359375,2026-06-22T19:30:00.000Z,0,2026-06-22T20:00:00.000Z,14641.2626953125,2026-06-22T19:30:00.000Z,1782158400000,2026-06-22T20:00:00.000Z
pre_adjustment,53.72642,1074.5284,54.324409925,1086.4881985,53.72535500000001,1074.5071,54.247582425,1084.9516485,0.0,0.0,54.042,1080.84,54.6,1092.0,53.9365,1078.73,54.200500000000005,1084.01,2316.3999999999996,115.82,54.042,1080.84,54.529483871000004,1090.58967742,53.94349071650001,1078.86981433,54.2752741935,1085.50548387,0.0,0.0,0.00248405,0.00248405,0.01120351,0.01120351,-0.0020459,-0.0020459,0.0,0.0,0.0,0.0,17999,1058.37024868,1782144000001,2026-06-22T16:00:00.001Z,-0.00040333,,False,False,False,3600,2026-06-22T20:00:00.000Z,54.323997497558594,2026-06-22T19:30:00.000Z,0,2026-06-22T21:00:00.000Z,1537.949951171875,2026-06-22T20:00:00.000Z,,,,,3600,2026-06-22T20:00:00.000Z,1211.199951171875,2026-06-22T19:30:00.000Z,,,,,,,,,3600,2026-06-22T20:00:00.000Z,2274.148193359375,2026-06-22T19:30:00.000Z,3600,2026-06-22T20:00:00.000Z,14641.2626953125,2026-06-22T19:30:00.000Z,1782162000000,2026-06-22T21:00:00.000Z
pre_adjustment,53.2638,1065.276,54.043510000000005,1080.8702,53.073119999999996,1061.4624,53.72642,1074.5284,0.0,0.0,53.254999999999995,1065.1,54.2285,1084.57,52.496500000000005,1049.93,54.1055,1082.11,2238.2,111.91,53.254999999999995,1065.1,54.184919355000005,1083.6983871,52.715,1054.3,54.042,1080.84,0.0,0.0,0.0,0.0,0.00865364,0.00865364,-0.01092879,-0.01092879,0.00248405,0.00248405,0.0,0.0,21599,1058.37024868,1782144000001,2026-06-22T16:00:00.001Z,-0.00040333,,False,False,False,7200,2026-06-22T20:00:00.000Z,54.323997497558594,2026-06-22T19:30:00.000Z,0,2026-06-22T22:00:00.000Z,1533.3699951171875,2026-06-22T21:00:00.000Z,,,,,7200,2026-06-22T20:00:00.000Z,1211.199951171875,2026-06-22T19:30:00.000Z,,,,,,,,,7200,2026-06-22T20:00:00.000Z,2274.148193359375,2026-06-22T19:30:00.000Z,7200,2026-06-22T20:00:00.000Z,14641.2626953125,2026-06-22T19:30:00.000Z,1782165600000,2026-06-22T22:00:00.000Z
pre_adjustment,52.778053731,1055.56107462,53.65717515,1073.143503,52.721205,1054.4241,53.2638,1065.276,0.0,0.0,53.0,1060.0,53.518499999999996,1070.37,53.0,1060.0,53.24700000000001,1064.94,426.0,21.3,53.0,1060.0,53.65569805500001,1073.1139611,52.8652903845,1057.30580769,53.254999999999995,1065.1,0.0,0.0,0.0028829,0.0028829,0.00657087,0.00657087,-0.00395879,-0.00395879,0.0,0.0,0.0,0.0,25199,1058.37024868,1782144000001,2026-06-22T16:00:00.001Z,-0.00040333,,False,False,False,10800,2026-06-22T20:00:00.000Z,54.323997497558594,2026-06-22T19:30:00.000Z,0,2026-06-22T23:00:00.000Z,1536.0999755859375,2026-06-22T22:00:00.000Z,,,,,10800,2026-06-22T20:00:00.000Z,1211.199951171875,2026-06-22T19:30:00.000Z,,,,,,,,,10800,2026-06-22T20:00:00.000Z,2274.148193359375,2026-06-22T19:30:00.000Z,10800,2026-06-22T20:00:00.000Z,14641.2626953125,2026-06-22T19:30:00.000Z,1782169200000,2026-06-22T23:00:00.000Z
